date,GWO1_med,GWO2_med,amp_med,P_amp_ge_1,P_amp_ge_2,phase
2025-10-16,-1.0941459583384554,0.8134101960103454,1.3740958442850482,1.0,0.0,3
2025-10-17,-1.0030975149615466,0.8373207234339076,1.3023122496422026,1.0,0.0,3
2025-10-18,-0.9023120376971749,1.2132618114844864,1.5278743090356552,1.0,0.0,4
2025-10-19,-0.7197973491164775,1.7551125232109315,1.8992624824974602,1.0,0.28,4
2025-10-20,-0.5165823449458464,1.9418760728601305,2.0127214945738983,1.0,0.54,4
2025-10-21,-0.29380136305800575,1.9484125804829384,1.969129013330964,1.0,0.46,4
2025-10-22,-0.052216980309005095,1.7356879358527384,1.73571789169597,0.9,0.14,4
2025-10-23,0.12065785286561218,1.409570554153807,1.4156115421757987,0.76,0.02,5
2025-10-24,0.24815285881915752,0.8479402753968113,0.9180984637437974,0.4,0.0,5
2025-10-25,0.3361287616504805,0.3501269551904986,0.5701179194926491,0.14,0.0,5
2025-10-26,0.34313264500404295,-0.08688119506182893,0.5647417109762798,0.12,0.0,7
2025-10-27,0.3099784465743123,-0.16880911859003403,0.6070569215094472,0.18,0.0,8
2025-10-28,0.2540412160107101,-0.11249567581277503,0.6505312838691223,0.12,0.0,5
2025-10-29,0.30625382473586515,-0.09521660066963344,0.5783594407711101,0.02,0.0,8
2025-10-30,0.3090848675165739,0.0425278812672959,0.5186408424968075,0.04,0.0,6
2025-10-31,0.3186223641098026,0.13371155527302625,0.5520785938142891,0.08,0.0,6
